,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,152.801,153.242,151.938,152.802,105574,0,11
1,2013.06.04,152.802,153.803,152.387,153.427,100857,0,11
2,2013.06.05,153.427,153.747,152.392,152.693,111903,0,11
3,2013.06.06,152.692,153.566,150.297,151.731,114373,0,39
4,2013.06.07,151.732,152.006,148.161,151.698,127541,0,39
5,2013.06.10,152.591,154.188,151.981,153.909,101964,0,34
6,2013.06.11,153.908,153.962,149.344,150.323,125776,0,39
7,2013.06.12,150.324,152.009,149.293,150.397,109259,0,39
8,2013.06.13,150.398,150.401,147.091,150.099,128310,0,11
9,2013.06.14,150.097,150.097,147.409,147.651,109094,0,11
10,2013.06.17,148.389,149.445,148.201,148.622,89535,0,11
11,2013.06.18,148.622,149.584,148.57,149.403,93483,0,11
12,2013.06.19,149.407,150.306,148.266,149.433,99943,0,11
13,2013.06.20,149.432,151.923,148.868,150.493,130348,0,11
14,2013.06.21,150.487,151.922,149.749,150.869,104893,0,11
15,2013.06.24,151.381,151.737,149.712,150.849,112804,0,11
16,2013.06.25,150.851,151.455,149.668,151.251,103930,0,11
17,2013.06.26,151.249,151.33,149.248,149.801,98677,0,11
18,2013.06.27,149.8,150.571,149.365,150.228,85034,0,39
19,2013.06.28,150.229,151.138,150.163,150.741,90002,0,39
20,2013.07.01,151.245,152.064,150.823,151.587,76790,0,11
21,2013.07.02,151.583,152.772,151.249,152.644,83488,0,11
22,2013.07.03,152.643,153.016,151.235,152.508,93604,0,11
23,2013.07.04,152.522,152.682,150.288,150.755,76734,0,11
24,2013.07.05,150.757,151.113,149.484,150.575,81765,0,11
25,2013.07.08,150.796,151.131,150.197,150.736,78286,0,11
26,2013.07.09,150.733,151.603,149.778,150.211,86043,0,11
27,2013.07.10,150.211,150.351,148.772,149.833,107320,0,11
28,2013.07.11,149.819,150.624,148.94,149.929,113769,0,11
29,2013.07.12,149.933,150.664,149.419,149.759,73618,0,11
30,2013.07.15,149.879,151.26,149.684,150.872,68279,0,11
31,2013.07.16,150.873,151.11,149.797,149.941,83342,0,11
32,2013.07.17,149.936,152.053,149.923,151.452,85215,0,11
33,2013.07.18,151.452,153.142,151.368,153.057,83981,0,1
34,2013.07.19,153.057,153.659,152.168,153.43,79609,0,1
35,2013.07.22,153.427,153.427,152.358,152.587,78495,0,1
36,2013.07.23,152.597,153.666,152.329,152.968,81324,0,1
37,2013.07.24,152.968,154.043,152.808,153.675,82102,0,1
38,2013.07.25,153.677,153.822,152.253,152.651,93428,0,1
39,2013.07.26,152.647,152.787,150.723,151.133,81166,0,1
40,2013.07.29,150.767,151.131,149.997,150.389,79589,0,1
41,2013.07.30,150.395,150.917,149.187,149.379,78822,0,1
42,2013.07.31,149.382,149.432,148.285,148.462,94642,0,1
43,2013.08.01,148.458,150.681,148.246,150.302,84922,0,1
44,2013.08.02,150.305,151.539,150.204,151.249,79764,0,1
45,2013.08.05,151.219,151.49,150.323,150.857,74214,0,1
46,2013.08.06,150.857,151.433,149.171,149.35,82315,0,1
47,2013.08.07,149.35,150.693,147.6,149.638,94921,0,1
48,2013.08.08,149.638,150.477,148.928,150.304,85850,0,1
49,2013.08.09,150.302,150.655,149.048,149.048,69128,0,1
50,2013.08.12,149.022,150.375,148.894,150.212,71251,0,1
51,2013.08.13,150.214,152.084,150.133,151.589,79814,0,1
52,2013.08.14,151.591,152.58,151.193,151.719,77839,0,1
53,2013.08.15,151.719,153.236,151.487,151.807,96609,0,1
54,2013.08.16,151.806,152.748,151.778,152.378,71295,0,1
55,2013.08.19,152.603,153.568,152.204,152.711,71830,0,1
