,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,1.52064,1.53748,1.51955,1.5321,61538,0,5
1,2013.06.04,1.5321,1.53425,1.52732,1.53012,60685,0,5
2,2013.06.05,1.53012,1.54084,1.52917,1.54062,68227,0,5
3,2013.06.06,1.54066,1.56833,1.53811,1.55947,64860,0,8
4,2013.06.07,1.55943,1.56171,1.54881,1.55552,63995,0,8
5,2013.06.10,1.55292,1.55854,1.54947,1.5572,52654,0,8
6,2013.06.11,1.5572,1.56526,1.55207,1.56429,63967,0,8
7,2013.06.12,1.56428,1.56995,1.5633,1.56797,52128,0,8
8,2013.06.13,1.56796,1.5736,1.56442,1.57045,59487,0,5
9,2013.06.14,1.57046,1.57173,1.5616,1.57008,57131,0,5
10,2013.06.17,1.57311,1.5751,1.56804,1.57158,48809,0,5
11,2013.06.18,1.57157,1.57198,1.5565,1.56302,55421,0,5
12,2013.06.19,1.56304,1.56769,1.54495,1.54726,60638,0,5
13,2013.06.20,1.54727,1.5522,1.54144,1.55124,79081,0,5
14,2013.06.21,1.5512,1.55302,1.5368,1.54144,63915,0,5
15,2013.06.24,1.53863,1.54652,1.53435,1.54531,64247,0,5
16,2013.06.25,1.5453,1.54771,1.53972,1.54084,60439,0,5
17,2013.06.26,1.54086,1.54401,1.52975,1.53234,59355,0,5
18,2013.06.27,1.53233,1.53455,1.52016,1.52566,48499,0,8
19,2013.06.28,1.52567,1.52784,1.51654,1.52112,47247,0,8
20,2013.07.01,1.52082,1.52483,1.51832,1.52164,48756,0,5
21,2013.07.02,1.52164,1.52377,1.51361,1.51499,52432,0,5
22,2013.07.03,1.515,1.53042,1.51297,1.52806,55711,0,5
23,2013.07.04,1.52805,1.52828,1.50271,1.50392,55695,0,5
24,2013.07.05,1.50392,1.50551,1.48595,1.48827,60814,0,5
25,2013.07.08,1.48587,1.49656,1.48581,1.49331,49884,0,5
26,2013.07.09,1.49334,1.49804,1.48133,1.48461,60516,0,5
27,2013.07.10,1.48465,1.51938,1.48447,1.51266,73126,0,5
28,2013.07.11,1.51286,1.52219,1.50611,1.51712,75921,0,5
29,2013.07.12,1.51713,1.51886,1.50757,1.51036,50568,0,1
30,2013.07.15,1.51094,1.51262,1.50274,1.50944,46711,0,1
31,2013.07.16,1.50942,1.51685,1.50445,1.51281,56900,0,1
32,2013.07.17,1.51281,1.52673,1.50787,1.52083,59443,0,1
33,2013.07.18,1.52085,1.52419,1.51576,1.52204,52438,0,1
34,2013.07.19,1.52205,1.52816,1.51962,1.5259,43964,0,1
35,2013.07.22,1.52849,1.53839,1.5264,1.53639,43974,0,1
36,2013.07.23,1.5364,1.53915,1.53259,1.53714,44266,0,1
37,2013.07.24,1.53714,1.53897,1.5289,1.53066,48417,0,1
38,2013.07.25,1.53068,1.54351,1.52634,1.538,54180,0,1
39,2013.07.26,1.53795,1.54161,1.53557,1.53779,42216,0,1
40,2013.07.29,1.53905,1.54134,1.53286,1.534,41996,0,1
41,2013.07.30,1.534,1.53535,1.52233,1.52416,46455,0,1
42,2013.07.31,1.52415,1.52534,1.51257,1.51727,59027,0,1
43,2013.08.01,1.51729,1.52424,1.51097,1.51172,55173,0,1
44,2013.08.02,1.51172,1.53087,1.51024,1.52863,50930,0,1
45,2013.08.05,1.52864,1.53783,1.52588,1.53552,45956,0,1
46,2013.08.06,1.53551,1.53915,1.53315,1.53426,47070,0,1
47,2013.08.07,1.53424,1.55308,1.52048,1.54966,58629,0,1
48,2013.08.08,1.54962,1.5574,1.54847,1.55336,47199,0,1
49,2013.08.09,1.55334,1.55584,1.54966,1.54966,36764,0,1
50,2013.08.12,1.55137,1.55186,1.5452,1.54553,37402,0,1
51,2013.08.13,1.54553,1.55118,1.54269,1.54478,46355,0,1
52,2013.08.14,1.54482,1.55467,1.5422,1.5516,47755,0,1
53,2013.08.15,1.5516,1.56517,1.55083,1.56389,59415,0,1
54,2013.08.16,1.56388,1.56564,1.56073,1.56223,42556,0,1
55,2013.08.19,1.56236,1.56731,1.56091,1.56461,41288,0,1
56,2013.08.20,1.56459,1.56955,1.56284,1.56628,46018,0,1
57,2013.08.21,1.56626,1.5717,1.5615,1.56157,51090,0,1
