,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,0.82618,0.83515,0.82371,0.83157,53896,0,5
1,2013.06.04,0.83155,0.83188,0.82542,0.82926,50011,0,6
2,2013.06.05,0.82935,0.83288,0.82035,0.82285,60804,0,5
3,2013.06.06,0.82286,0.82656,0.81852,0.82018,57561,0,62
4,2013.06.07,0.8201,0.82181,0.80259,0.80302,52717,0,62
5,2013.06.10,0.8,0.80634,0.79861,0.80465,43399,0,62
6,2013.06.11,0.80466,0.80471,0.79467,0.8036,55981,0,62
7,2013.06.12,0.80359,0.81603,0.80312,0.81146,49386,0,62
8,2013.06.13,0.81145,0.82383,0.80662,0.82112,52344,0,5
9,2013.06.14,0.82109,0.82568,0.81741,0.81783,46320,0,5
10,2013.06.17,0.81822,0.82233,0.81263,0.81443,36280,0,5
11,2013.06.18,0.81435,0.81786,0.81058,0.81555,44107,0,5
12,2013.06.19,0.81556,0.82058,0.80582,0.80899,50319,0,5
13,2013.06.20,0.809,0.81085,0.79894,0.80568,75911,0,5
14,2013.06.21,0.80565,0.81382,0.80447,0.80884,56267,0,5
15,2013.06.24,0.81353,0.81819,0.80945,0.81643,69088,0,8
16,2013.06.25,0.81643,0.81643,0.80939,0.81298,56820,0,6
17,2013.06.26,0.81298,0.82251,0.81014,0.81408,54766,0,5
18,2013.06.27,0.81408,0.82108,0.81361,0.81614,48165,0,5
19,2013.06.28,0.81614,0.81855,0.81108,0.81243,41828,0,5
20,2013.07.01,0.81495,0.82224,0.81296,0.82188,35556,0,5
21,2013.07.02,0.82185,0.82196,0.8155,0.81703,40546,0,5
22,2013.07.03,0.81705,0.81949,0.81383,0.8183,47835,0,5
23,2013.07.04,0.81834,0.82645,0.81634,0.82383,43525,0,5
24,2013.07.05,0.82381,0.82623,0.81388,0.81528,39523,0,5
25,2013.07.08,0.81444,0.82601,0.81444,0.82241,31788,0,5
26,2013.07.09,0.82238,0.83008,0.82063,0.82472,40191,0,5
27,2013.07.10,0.82472,0.82854,0.81718,0.82322,50924,0,5
28,2013.07.11,0.82319,0.82711,0.80703,0.81364,51516,0,5
29,2013.07.12,0.81363,0.81633,0.80287,0.80693,36794,0,5
30,2013.07.15,0.81049,0.81568,0.80577,0.81402,36355,0,5
31,2013.07.16,0.81401,0.82148,0.8137,0.82005,42351,0,5
32,2013.07.17,0.82005,0.82482,0.81517,0.82246,47618,0,5
33,2013.07.18,0.82245,0.82295,0.81758,0.82042,39709,0,3
