,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,0.76321,0.76973,0.7599,0.76638,39437,0,7
1,2013.06.04,0.76641,0.7669,0.75568,0.75983,34620,0,9
2,2013.06.05,0.75979,0.76281,0.74527,0.74909,45253,0,7
3,2013.06.06,0.74907,0.74997,0.74143,0.74232,61471,0,62
4,2013.06.07,0.74226,0.74341,0.73387,0.73687,58009,0,62
5,2013.06.10,0.73399,0.74222,0.73287,0.73688,46409,0,62
6,2013.06.11,0.7369,0.73695,0.71925,0.72925,58483,0,62
7,2013.06.12,0.72919,0.74447,0.7272,0.73192,53308,0,62
8,2013.06.13,0.7319,0.7478,0.72399,0.74578,57492,0,7
9,2013.06.14,0.74575,0.7508,0.73999,0.74042,33030,0,7
10,2013.06.17,0.74216,0.74831,0.73632,0.73729,24670,0,7
11,2013.06.18,0.73727,0.73925,0.73094,0.73413,30114,0,7
12,2013.06.19,0.73415,0.74052,0.72835,0.73114,36880,0,7
13,2013.06.20,0.73117,0.73273,0.71587,0.71897,54220,0,7
14,2013.06.21,0.719,0.72681,0.71882,0.72212,36010,0,7
15,2013.06.24,0.72708,0.72786,0.71875,0.72506,43615,0,7
16,2013.06.25,0.72502,0.72735,0.71923,0.72553,42320,0,7
17,2013.06.26,0.7255,0.73882,0.72405,0.73268,41262,0,7
18,2013.06.27,0.73265,0.74218,0.73223,0.7356,37313,0,7
19,2013.06.28,0.73568,0.7398,0.72824,0.72947,36393,0,4
20,2013.07.01,0.7323,0.7407,0.72967,0.73947,29347,0,7
21,2013.07.02,0.73941,0.73985,0.73443,0.73675,34457,0,7
22,2013.07.03,0.73667,0.73965,0.73223,0.73719,40724,0,7
23,2013.07.04,0.73722,0.75174,0.73568,0.75005,40348,0,7
24,2013.07.05,0.75009,0.75252,0.73946,0.74222,34712,0,7
25,2013.07.08,0.74378,0.75362,0.74371,0.75083,28056,0,7
26,2013.07.09,0.75081,0.76556,0.749,0.76206,37218,0,8
27,2013.07.10,0.76207,0.76652,0.74796,0.74986,50507,0,7
28,2013.07.11,0.74986,0.75434,0.73712,0.74291,58981,0,7
29,2013.07.12,0.74292,0.74689,0.73367,0.73402,39046,0,12
30,2013.07.15,0.7385,0.74287,0.73575,0.73959,39883,0,5
31,2013.07.16,0.73966,0.74574,0.73938,0.74288,48673,0,13
32,2013.07.17,0.74291,0.74586,0.73659,0.74401,52755,0,6
33,2013.07.18,0.74403,0.74711,0.74082,0.74657,43432,0,13
34,2013.07.19,0.74657,0.7525,0.74412,0.74433,37461,0,13
35,2013.07.22,0.74537,0.74708,0.74163,0.74624,36512,0,6
36,2013.07.23,0.74624,0.74978,0.74556,0.74744,32572,0,12
37,2013.07.24,0.74743,0.74882,0.74119,0.74678,36290,0,1
38,2013.07.25,0.74678,0.75393,0.74656,0.74938,30348,0,8
39,2013.07.26,0.74941,0.75212,0.74832,0.74906,22645,0,6
40,2013.07.29,0.74952,0.75206,0.74554,0.74713,24021,0,12
41,2013.07.30,0.74703,0.7482,0.74061,0.74261,28268,0,7
42,2013.07.31,0.74258,0.74282,0.73423,0.73737,36318,0,3
43,2013.08.01,0.7374,0.74194,0.73317,0.73987,33210,0,3
44,2013.08.02,0.7399,0.7409,0.72554,0.727,29160,0,5
45,2013.08.05,0.72158,0.72897,0.71929,0.72668,26022,0,12
46,2013.08.06,0.72671,0.73278,0.72532,0.7304,25671,0,8
47,2013.08.07,0.73043,0.73736,0.72965,0.73322,29211,0,1
48,2013.08.08,0.73322,0.73928,0.73177,0.73548,26850,0,5
49,2013.08.09,0.73547,0.74308,0.73434,0.74062,19937,0,3
50,2013.08.12,0.73971,0.74619,0.73837,0.7392,25261,0,5
51,2013.08.13,0.73919,0.74512,0.73884,0.74415,28493,0,8
