,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
0,2013.06.03,0.79757,0.81183,0.79425,0.80865,63354,0,5
1,2013.06.04,0.80864,0.80903,0.79675,0.80127,60676,0,5
2,2013.06.05,0.80127,0.80604,0.79277,0.79581,69430,0,5
3,2013.06.06,0.7958,0.80999,0.79018,0.79855,73197,0,21
4,2013.06.07,0.79832,0.80134,0.78578,0.78787,70740,0,21
5,2013.06.10,0.78355,0.79224,0.78343,0.78959,59738,0,21
6,2013.06.11,0.7896,0.79064,0.77596,0.78938,75114,0,21
7,2013.06.12,0.78937,0.80226,0.7864,0.79533,65091,0,21
8,2013.06.13,0.79532,0.81093,0.78946,0.80766,71886,0,5
9,2013.06.14,0.80766,0.81369,0.80381,0.80389,54064,0,5
10,2013.06.17,0.80539,0.80987,0.79666,0.79947,47149,0,5
11,2013.06.18,0.79944,0.80209,0.79475,0.79786,54091,0,5
12,2013.06.19,0.79786,0.80528,0.78412,0.78688,60295,0,5
13,2013.06.20,0.78692,0.78887,0.77117,0.77629,75698,0,5
14,2013.06.21,0.77628,0.78063,0.76998,0.77337,63516,0,5
15,2013.06.24,0.7763,0.77896,0.76826,0.77769,73248,0,5
16,2013.06.25,0.77769,0.77954,0.76968,0.77256,65206,0,5
17,2013.06.26,0.77255,0.78605,0.77173,0.7776,61211,0,5
18,2013.06.27,0.77759,0.78524,0.7768,0.77961,64245,0,21
19,2013.06.28,0.7796,0.78206,0.77067,0.77243,64187,0,21
20,2013.07.01,0.77459,0.78303,0.77273,0.78264,51296,0,5
21,2013.07.02,0.78264,0.78277,0.7737,0.77448,62294,0,5
22,2013.07.03,0.77448,0.77967,0.77097,0.77937,68049,0,5
23,2013.07.04,0.77939,0.78585,0.77631,0.7829,59188,0,5
24,2013.07.05,0.7829,0.78418,0.76873,0.77051,48457,0,5
25,2013.07.08,0.76991,0.78197,0.7699,0.77856,45646,0,5
26,2013.07.09,0.77856,0.78842,0.77619,0.7827,55958,0,5
27,2013.07.10,0.78267,0.79587,0.77791,0.79156,65425,0,5
28,2013.07.11,0.79156,0.79687,0.77647,0.78409,72257,0,5
29,2013.07.12,0.78409,0.78784,0.77525,0.77633,50250,0,5
30,2013.07.15,0.78014,0.7826,0.7731,0.77997,52942,0,5
31,2013.07.16,0.77997,0.79012,0.77994,0.79006,56077,0,5
32,2013.07.17,0.79006,0.7939,0.78407,0.79047,61335,0,5
33,2013.07.18,0.79047,0.79108,0.78481,0.79057,55270,0,1
34,2013.07.19,0.79057,0.79897,0.78867,0.78999,44747,0,1
35,2013.07.22,0.79344,0.79831,0.79055,0.79742,52070,0,1
36,2013.07.23,0.7974,0.80125,0.79542,0.79943,53528,0,1
37,2013.07.24,0.79941,0.80115,0.79048,0.79611,57490,0,1
38,2013.07.25,0.79612,0.81055,0.79611,0.8059,56767,0,1
39,2013.07.26,0.80594,0.81044,0.80542,0.8069,42643,0,1
40,2013.07.29,0.80758,0.80988,0.80094,0.80257,46885,0,1
41,2013.07.30,0.80259,0.80352,0.7957,0.79917,50946,0,1
42,2013.07.31,0.79914,0.80152,0.79248,0.7962,60049,0,1
43,2013.08.01,0.79618,0.79824,0.7852,0.79001,48600,0,1
44,2013.08.02,0.79007,0.79348,0.78159,0.78239,45128,0,1
45,2013.08.05,0.77662,0.78631,0.77361,0.78355,49671,0,1
46,2013.08.06,0.78356,0.79175,0.78264,0.78956,50850,0,1
47,2013.08.07,0.78957,0.79976,0.78834,0.79614,54963,0,1
48,2013.08.08,0.79602,0.80467,0.79332,0.79939,52699,0,1
49,2013.08.09,0.79941,0.80564,0.79832,0.80342,41501,0,1
50,2013.08.12,0.80235,0.80567,0.79708,0.79795,40183,0,1
51,2013.08.13,0.79795,0.8007,0.79341,0.79781,47644,0,1
52,2013.08.14,0.79781,0.80545,0.79583,0.80513,47046,0,1
53,2013.08.15,0.80513,0.81033,0.79942,0.80722,56146,0,1
54,2013.08.16,0.80722,0.81277,0.80535,0.80994,45010,0,1
55,2013.08.19,0.81175,0.81628,0.80566,0.80594,42964,0,1
56,2013.08.20,0.80591,0.8069,0.79415,0.79552,52964,0,1
57,2013.08.21,0.79551,0.79664,0.78391,0.78417,54739,0,1
58,2013.08.22,0.78417,0.78649,0.78042,0.7836,51936,0,1
59,2013.08.23,0.7836,0.78486,0.77609,0.77994,41675,0,1
60,2013.08.26,0.7799,0.78729,0.77938,0.78398,36503,0,1
61,2013.08.27,0.78402,0.78411,0.77471,0.77634,49400,0,1
62,2013.08.28,0.77625,0.78276,0.77432,0.78141,48724,0,1
63,2013.08.29,0.7814,0.78399,0.77398,0.77612,45704,0,1
64,2013.08.30,0.77612,0.77965,0.77164,0.77164,35578,0,1
65,2013.09.02,0.77647,0.78396,0.7756,0.78136,36238,0,1
66,2013.09.03,0.78135,0.78381,0.77754,0.77992,43714,0,1
67,2013.09.04,0.77992,0.7927,0.77929,0.78936,40451,0,1
68,2013.09.05,0.78938,0.79143,0.7855,0.7886,35920,0,1
69,2013.09.06,0.78857,0.80218,0.78853,0.7994,31897,0,1
70,2013.09.09,0.79774,0.80308,0.79607,0.80158,31242,0,1
71,2013.09.10,0.80156,0.80754,0.80123,0.80529,35499,0,1
72,2013.09.11,0.80528,0.81497,0.80366,0.81459,36575,0,1
73,2013.09.12,0.8146,0.81569,0.81096,0.8131,38187,0,1
74,2013.09.13,0.8131,0.81695,0.80948,0.8124,29586,0,1
75,2013.09.16,0.81917,0.82236,0.81559,0.81805,35555,0,1
76,2013.09.17,0.81801,0.82481,0.81583,0.82248,31050,0,1
77,2013.09.18,0.82245,0.84058,0.82058,0.83852,36887,0,1
78,2013.09.19,0.83854,0.84351,0.83518,0.83848,40080,0,1
79,2013.09.20,0.83849,0.84001,0.83539,0.83577,29750,0,1
80,2013.09.23,0.83607,0.83895,0.83472,0.8359,36286,0,1
81,2013.09.24,0.83588,0.83596,0.82358,0.82464,36663,0,1
82,2013.09.25,0.8246,0.82687,0.82165,0.82434,33645,0,1
83,2013.09.26,0.82434,0.83014,0.82351,0.82778,35128,0,1
84,2013.09.27,0.8278,0.83187,0.82476,0.82672,30568,0,1
85,2013.09.30,0.82653,0.8333,0.82512,0.82978,34754,0,1
86,2013.10.01,0.82975,0.83409,0.82453,0.82586,38787,0,1
87,2013.10.02,0.82586,0.83399,0.81933,0.8311,39100,0,1
88,2013.10.03,0.83112,0.83386,0.82758,0.82849,36180,0,1
89,2013.10.04,0.82846,0.83502,0.82844,0.8314,27317,0,3
90,2013.10.07,0.83123,0.83357,0.82701,0.82953,31345,0,1
91,2013.10.08,0.82954,0.83325,0.82693,0.83131,35185,0,2
92,2013.10.09,0.83133,0.83199,0.82718,0.82959,34125,0,1
93,2013.10.10,0.82955,0.83068,0.8231,0.82732,36485,0,1
94,2013.10.11,0.82711,0.83538,0.82663,0.83161,29893,0,1
95,2013.10.14,0.832,0.83804,0.83071,0.83627,31528,0,1
96,2013.10.15,0.83625,0.8406,0.83576,0.8406,35306,0,1
97,2013.10.16,0.84062,0.84446,0.83743,0.84275,35271,0,1
98,2013.10.17,0.84277,0.85241,0.84151,0.84579,41350,0,2
99,2013.10.18,0.8458,0.85128,0.8447,0.84938,30631,0,2
100,2013.10.21,0.84916,0.85016,0.84366,0.84527,30327,0,2
101,2013.10.22,0.84527,0.85428,0.84349,0.85127,33726,0,1
102,2013.10.23,0.85123,0.85188,0.83567,0.84161,44677,0,1
103,2013.10.24,0.84157,0.84448,0.83192,0.83369,41959,0,1
104,2013.10.25,0.8337,0.8337,0.82725,0.82775,34713,0,1
105,2013.10.28,0.82977,0.83318,0.82699,0.8275,34949,0,1
106,2013.10.29,0.8275,0.82928,0.82337,0.82469,37828,0,1
107,2013.10.30,0.82476,0.82864,0.81922,0.82503,39527,0,1
108,2013.10.31,0.82503,0.831,0.82315,0.82551,40461,0,1
109,2013.11.01,0.82548,0.82852,0.82099,0.82638,30371,0,1
110,2013.11.04,0.82726,0.83126,0.82488,0.82903,28613,0,1
111,2013.11.05,0.82903,0.83758,0.82589,0.83574,39088,0,1
112,2013.11.06,0.83575,0.84142,0.8351,0.83682,33125,0,2
113,2013.11.07,0.83681,0.83953,0.83064,0.83256,42682,0,1
114,2013.11.08,0.83252,0.83484,0.82242,0.82438,38339,0,1
115,2013.11.11,0.8273,0.82877,0.82273,0.82471,33341,0,1
116,2013.11.12,0.8247,0.82552,0.81684,0.82142,42286,0,1
117,2013.11.13,0.8214,0.83561,0.82069,0.83196,40562,0,1
118,2013.11.14,0.83191,0.83286,0.82312,0.82693,40703,0,1
119,2013.11.15,0.82691,0.83422,0.82687,0.83289,28885,0,1
120,2013.11.18,0.83353,0.84045,0.83098,0.83281,36375,0,1
121,2013.11.19,0.83282,0.83924,0.83088,0.83582,38056,0,1
122,2013.11.20,0.83583,0.83583,0.82527,0.82674,42242,0,1
123,2013.11.21,0.82673,0.82721,0.81751,0.82316,46292,0,1
124,2013.11.22,0.82321,0.82414,0.81242,0.81883,38125,0,1
125,2013.11.25,0.82112,0.82442,0.81836,0.82389,36237,0,1
126,2013.11.26,0.82385,0.8265,0.81533,0.8183,37408,0,1
127,2013.11.27,0.81836,0.82109,0.81146,0.81497,38802,0,1
128,2013.11.28,0.81493,0.81766,0.81032,0.81158,34860,0,2
129,2013.11.29,0.81157,0.81647,0.80838,0.81235,33746,0,1
130,2013.12.02,0.81564,0.82233,0.8153,0.81979,35982,0,1
131,2013.12.03,0.81978,0.82597,0.81551,0.82079,41486,0,1
132,2013.12.04,0.82075,0.82171,0.81655,0.82048,41690,0,1
133,2013.12.05,0.82046,0.8232,0.81517,0.82072,38713,0,1
134,2013.12.06,0.82066,0.82917,0.81394,0.82748,36334,0,1
135,2013.12.09,0.8284,0.83204,0.82567,0.82733,35883,0,1
136,2013.12.10,0.82735,0.8334,0.82705,0.82956,33490,0,1
137,2013.12.11,0.82954,0.8305,0.82001,0.82685,38978,0,1
138,2013.12.12,0.82685,0.83195,0.81862,0.82332,41186,0,1
139,2013.12.13,0.82331,0.82703,0.82029,0.82604,28784,0,4
140,2013.12.16,0.82559,0.8287,0.82419,0.82744,31084,0,1
141,2013.12.17,0.82747,0.82872,0.82385,0.82683,32892,0,1
142,2013.12.18,0.82681,0.82884,0.81722,0.82124,38079,0,1
143,2013.12.19,0.82119,0.82164,0.81512,0.81863,37934,0,2
144,2013.12.20,0.81863,0.82228,0.81486,0.81868,33014,0,1
145,2013.12.23,0.82054,0.82144,0.81876,0.81883,29722,0,3
146,2013.12.24,0.81883,0.81924,0.81709,0.81879,20584,0,3
147,2013.12.26,0.81642,0.81727,0.81461,0.81525,17994,0,1
148,2013.12.27,0.81525,0.81934,0.81392,0.81425,27478,0,1
149,2013.12.30,0.81366,0.82227,0.81165,0.8212,32577,0,1
150,2013.12.31,0.82122,0.82428,0.82027,0.8234,18546,0,2
151,2014.01.01,0.81918,0.82191,0.81877,0.82055,4545,0,14
